#Wavelength[um] k_ext[m^2/kg] SSA
7.082442997489084568e-01 8.458545284412981573e+02 9.961180517834506976e-01
7.578044409787344504e-01 6.925279863065391055e+02 9.958949693643737167e-01
7.854756051400183514e-01 6.221290751722649475e+02 9.957704146297301495e-01
8.220457652458277309e-01 5.290900025676811538e+02 9.959323596451442606e-01
8.711150853917246639e-01 4.522535633049323565e+02 9.961496551610620198e-01
9.037537256484573511e-01 4.011455207999895265e+02 9.961985247544447031e-01
9.660966558540656779e-01 3.248634638053902677e+02 9.962918703603114157e-01
1.000772805201290083e+00 2.824341459639865093e+02 9.963074753051601729e-01
1.071436673317189836e+00 2.224897859127296158e+02 9.963392754267279550e-01
1.128944988767643487e+00 1.737053185573741700e+02 9.965026336942202079e-01
1.188255362000280480e+00 1.019513973960231255e+02 9.966711108916430639e-01
1.250138628768884930e+00 2.708477958695023702e+01 9.963188181727494763e-01
1.317841061335488728e+00 3.697634149612687793e+01 9.959333977628384016e-01
1.379005799382220454e+00 4.591272339721472662e+01 9.936912272172568894e-01
1.473550304853683768e+00 3.210378568472427219e+01 9.902254246619885958e-01
1.532953440343223006e+00 2.342750995816424364e+01 9.881321490234209470e-01
1.607086626249845551e+00 2.148288304678037974e+01 9.855198089375165615e-01
1.697517887004546200e+00 1.911073269139881603e+01 9.696919262626697567e-01
1.698871548246506213e+00 1.899159128860120305e+01 9.694549994395731396e-01
1.847431827825290140e+00 5.916178060847039788e+00 9.405988808704721649e-01
1.879748530428430042e+00 3.071849537148983345e+00 9.136362793167487339e-01
1.884768780678291566e+00 3.229232229612558402e+00 9.094477638964333366e-01
1.888866593778961045e+00 3.357696913024239116e+00 8.813398515299657454e-01
1.980909915177804459e+00 6.243215567286489076e+00 8.563331522723158784e-01
2.067784658628537109e+00 8.966701519353472705e+00 8.291653087090349317e-01
2.081541858674022194e+00 9.397983841181588360e+00 8.208526763708610119e-01
2.104770974585852272e+00 1.007115909949486721e+01 8.068167461323354495e-01
2.168422139253394221e+00 1.191575746387738377e+01 7.824950208220169401e-01
