#Wavelength[um] k_ext[m^2/kg] SSA
6.371043583912184838e-01 4.023027281003804546e+03 9.991367129742051434e-01
6.571181753274690784e-01 3.766339142021071439e+03 9.991679263233622654e-01
6.756715560096228090e-01 3.537674894120364570e+03 9.991968619907125593e-01
6.777542859516686446e-01 3.512005940093226400e+03 9.991978898224109784e-01
6.989921406604289178e-01 3.274157297549594205e+03 9.992083707493121247e-01
7.209057314216507084e-01 3.032776249423628542e+03 9.992191851534059088e-01
7.434816899916423250e-01 2.799637480989770211e+03 9.992303264374357008e-01
7.536320619736396331e-01 2.698994214031131378e+03 9.992353356678038701e-01
7.667573825115384656e-01 2.568853649610799039e+03 9.991961363049660649e-01
7.944623722425976364e-01 2.333595437827541446e+03 9.991133941013187192e-01
8.333791761486327720e-01 2.089329591809339945e+03 9.989971673080458858e-01
8.405878267081453581e-01 2.038759138668595369e+03 9.989756383474359680e-01
8.681229333591388153e-01 1.845593606628487578e+03 9.989082819542215441e-01
9.088307931906867143e-01 1.602387482284984571e+03 9.988087023648454243e-01
9.375767434303210468e-01 1.475401121695310849e+03 9.987383840053705164e-01
9.609268167618653100e-01 1.372251258596106936e+03 9.987501485136925927e-01
1.021096949259695963e+00 1.139112490162248832e+03 9.987804641368798197e-01
1.045756459814416672e+00 1.060955318863302182e+03 9.987928883812502434e-01
1.090395941936762814e+00 9.194725573465866546e+02 9.988996400169605216e-01
1.166418195530741109e+00 7.302840973631405177e+02 9.990814409594377388e-01
1.170114940846574081e+00 7.210844022713752111e+02 9.990782705804319708e-01
1.301002154083403362e+00 5.282015774020413801e+02 9.989660199281624742e-01
1.306745888736233097e+00 5.197372840784980781e+02 9.989792689417471561e-01
1.451114712900621440e+00 3.609289426491374684e+02 9.993122830219873798e-01
1.459133088809149825e+00 3.521085828078702775e+02 9.993024563133754423e-01
1.618547596856373172e+00 2.399836673603206236e+02 9.991070900774983166e-01
1.628975650618193827e+00 2.326490485690354717e+02 9.991027934028918756e-01
1.803298731927885923e+00 1.473896229227690924e+02 9.990309670032697653e-01
